Treatment,RR,CI_lower,CI_upper,pre_lower,pre_upper,WEIGHT,tau2,Reference
ADA,0.97636674,0.513825838,1.855282353,0.509305537,1.871748765,3.053178732,0,BRODA
APRE,0.826511561,0.388311308,1.759210578,0.384294604,1.777598106,2.59462935,0,BRODA
BIME,0.506051696,0.209095783,1.224741675,0.20656737,1.239732678,2.217579905,0,BRODA
CERTO,0.677397089,0.258541352,1.774829489,0.2551362,1.798517091,2.034879512,0,BRODA
CICLO,5.487932086,0.296675924,101.5161534,0.28499731,105.6760802,0.671769736,0,BRODA
DEUCRAVA,0.589337789,0.059159093,5.870932316,0.057316501,6.059669042,0.852630177,0,BRODA
ETA,0.772026789,0.40689995,1.464795862,0.403328651,1.47776599,3.060339029,0,BRODA
FUM,0.847589117,0.31827916,2.25716101,0.314016912,2.28779815,2.001088089,0,BRODA
GUSEL,0.876239176,0.466497902,1.64587041,0.462467596,1.660213819,3.109208265,0,BRODA
IFX,1.143749519,0.47113387,2.776626867,0.465417138,2.810732255,2.209882667,0,BRODA
IXE,0.879074919,0.460671197,1.677493012,0.456591919,1.692480049,3.033184381,0,BRODA
MTX,0.077211166,0.008454622,0.705124869,0.008201099,0.726922571,0.886143721,0,BRODA
NETA,0.763299641,0.030347789,19.19831282,0.029030114,20.06972316,0.607765693,0,BRODA
PBO,0.969133252,0.57925177,1.621435286,0.575162748,1.632962605,3.808303245,0,BRODA
RISAN,0.70759108,0.366747091,1.365205477,0.363444443,1.377611205,2.982377171,0,BRODA
SECU,1.030247991,0.569970694,1.862220169,0.565345298,1.877456,3.310979301,0,BRODA
SONELO,1.196203248,0.22300327,6.416507751,0.217906413,6.566590649,1.166860154,0,BRODA
TILDRA,0.770003583,0.303017504,1.956670855,0.299152538,1.981950488,2.10164094,0,BRODA
USK,0.936813996,0.53351853,1.644967165,0.529400076,1.657764144,3.481405873,0,BRODA
APRE,0.84651753,0.429033732,1.670246127,0.425039097,1.685943562,2.884069107,0,ADA
BIME,0.518300835,0.242312888,1.108631726,0.239790158,1.120295165,2.577841547,0,ADA
BRODA,1.024205311,0.539001515,1.94618473,0.534259735,1.963457939,3.053178732,0,ADA
CERTO,0.693793696,0.280656757,1.715083214,0.277182139,1.736582642,2.165644797,0,ADA
CICLO,5.620769187,0.309571049,102.0542663,0.297461091,106.2090043,0.676086769,0,ADA
DEUCRAVA,0.603602893,0.062043762,5.872249565,0.06013093,6.059052331,0.861509473,0,ADA
ETA,0.790713938,0.45807726,1.364897553,0.454648123,1.375192153,3.590411722,0,ADA
FUM,0.868105275,0.345095847,2.183760756,0.340741607,2.211666412,2.124682446,0,ADA
