,studlab,treat1,treat2,TE1,seTE1,event11,n11,event21,n21,TE2,seTE2,event12,n12,event22,n22,incr,allstudies,unique_id,studlab.orig,year,rob,age,male,weight,pasi_score,sample_size,male_percentage,bmi,effect_size1,outcome1_direction,effect_size2,outcome2_direction,treat.orig1,treat.orig2,treat_class1,treat_class2,r11,r12,rAE1,rAE2,nAE1,nAE2,r21,r22,dlqi1,dlqi2,sddlqi1,sddlqi2,ndlqi1,ndlqi2
120,BEVIVID_2021,BIME,USK,0.5373317181892674,0.08220978380149274,273,321,81,321,-0.6776909223232535,0.6250998047330832,5,163,5,163,0.0,0,151,BEVIVID_2021,2021,1,46.0,406.0,88.5,21.5,567,0.72,29.5,RR,beneficial,RR,harmful,BIME,USK,AIL17,AIL1223,273,81,181,83,321,163,5,5,0.0,0.0,,,321,163
121,BEVIVID_2021,PBO,USK,-2.333245200542384,0.49412803696623814,4,83,81,83,-0.2413811388639906,0.8257220100637759,2,163,5,163,0.0,0,151,BEVIVID_2021,2021,1,46.0,406.0,88.5,21.5,567,0.72,29.5,RR,beneficial,RR,harmful,PBO,USK,PBO,AIL1223,4,81,39,83,83,163,2,5,0.0,0.0,,,83,163
122,BERADIANT_2021,BIME,SECU,0.14034459111272804,0.03724905400748272,319,373,275,373,,,0,370,0,370,0.5,0,152,BERADIANT_2021,2021,1,45.0,486.0,89.5,20.0,743,0.65,,RR,beneficial,RR,harmful,BIME,SECU,AIL17,AIL17,319,275,0,0,373,370,0,0,0.0,0.0,,,373,370
123,BESURE_2021,ADA,BIME,-0.5064656473560936,0.08021235066919577,82,159,273,159,0.6962869005646132,0.6249607152338896,5,319,5,319,0.0,0,153,BESURE_2021,2021,1,45.0,328.0,91.0,20.0,478,0.69,30.5,RR,beneficial,RR,harmful,ADA,BIME,ATA,AIL17,82,273,111,228,159,319,5,5,-7.3999996,-9.3500004,6.3000002,6.3099999,159,319
124,NCT03421197,FUM,PBO,,,0,319,0,319,0.006250020345171326,0.808817702597995,6,107,2,107,0.0,0,156,NCT03421197,2021,1,50.0,257.0,,18.0,426,0.6,,RR,beneficial,RR,harmful,FUM,PBO,CSA,PBO,0,0,0,0,319,107,6,2,0.0,0.0,,,319,107
125,NCT03535194,PBO,SECU,-2.4546928711915035,0.3671020474391355,7,112,326,112,-1.7525387560747736,1.440776866293554,0,448,11,448,0.5,0,158,NCT03535194,2021,1,,393.0,,,560,0.7,,RR,beneficial,RR,harmful,PBO,SECU,PBO,AIL17,7,326,68,257,112,448,0,11,0.0,0.0,,,112,448
126,NCT02762994,NETA,PBO,1.295322582914164,0.4124109791639763,60,92,5,92,,,0,28,0,28,0.5,0,162,NCT02762994,2021,1,40.5,79.0,82.0,,120,0.66,26,RR,beneficial,RR,harmful,NETA,PBO,AIL17,PBO,60,5,32,11,92,28,0,0,-12.0,-5.6500001,7.6999998,7.4000001,92,28
127,NCT03364309,IXE,PBO,3.5502739856221406,0.699563670499312,277,350,2,350,-1.3805963400052528,0.8077412255455874,3,88,3,88,0.0,0,163,NCT03364309,2021,1,40.5,335.0,,,438,0.76,,RR,beneficial,RR,harmful,IXE,PBO,AIL17,PBO,277,2,186,25,350,88,3,3,-8.7307425,0.92000002,4.5204983,4.48,350,88
128,Blauvelt_2021,PBO,RISAN,-2.7937909298903842,0.6974216345919707,2,52,66,52,-0.4007145053495665,1.6242353199685278,0,105,1,105,0.5,0,164,Blauvelt_2021,2021,3,49.0,87.0,94.300003,21.5,157,0.55,32.5,RR,beneficial,RR,harmful,PBO,RISAN,PBO,AIL23,2,66,11,22,52,105,0,1,0.0,0.0,,,52,105
129,PLANETA_2021,NETA,PBO,3.904383277411332,1.4079099386874507,94,169,0,169,-0.23875144898020073,1.6242829345713012,1,44,0,44,0.5,0,165,PLANETA_2021,2021,2,41.0,156.0,87.0,19.0,213,0.73,28,RR,beneficial,RR,harmful,NETA,PBO,AIL17,PBO,94,0,32,9,169,44,1,0,0.0,0.0,,,169,44
130,Papp_2021,PBO,SECU,-4.215238020292876,1.411115267940118,0,52,34,52,1.1174807729724925,1.6213967616946818,1,53,0,53,0.5,0,166,Papp_2021,2021,1,46.0,228.0,91.0,21.0,313,0.73,,RR,beneficial,RR,harmful,PBO,SECU,PBO,AIL17,0,34,22,26,52,53,1,0,0.0,0.0,,,52,53
131,Papp_2021,PBO,SONELO,-4.17770219005826,1.4085021212638782,0,52,129,52,0.07984288751101724,0.9080974982719009,1,208,5,208,0.5,0,166,Papp_2021,2021,1,46.0,228.0,91.0,21.0,313,0.73,,RR,beneficial,RR,harmful,PBO,SONELO,PBO,AIL17,0,129,22,107,52,208,1,5,0.0,0.0,,,52,208
132,Papp_2021,SECU,SONELO,0.037535830234616804,0.11497722867504435,34,53,129,53,-1.0376378854614752,1.4691257366078612,0,208,5,208,0.5,0,166,Papp_2021,2021,1,46.0,228.0,91.0,21.0,313,0.73,,RR,beneficial,RR,harmful,SECU,SONELO,AIL17,AIL17,34,129,26,107,53,208,0,5,0.0,0.0,,,53,208
133,NCT03589885MATURE,PBO,SECU,-2.6320642941242878,0.6930719570851956,2,40,57,40,-1.4857282581080775,1.4783131102971112,0,82,4,82,0.5,0,167,NCT03589885MATURE,2021,1,,85.0,,,122,0.7,,RR,beneficial,RR,harmful,PBO,SECU,PBO,AIL17,2,57,5,35,40,82,0,4,-1.97,-12.579999,6.9660001,7.7800002,40,82
